Débit	PM	CO	CH4	
0,00	0,014	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,018	-0,0026	-0,0029	
0,00	0,018	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,01	0,018	-0,0026	-0,0029	
0,01	0,022	-0,0026	-0,0029	
0,01	0,018	-0,0026	-0,0029	
0,01	0,020	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,022	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,009	-0,0026	-0,0029	
0,00	0,014	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,018	-0,0026	-0,0029	
0,00	0,014	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,018	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,026	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,013	-0,0026	-0,0029	
0,00	0,013	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,026	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
-0,01	0,016	-0,0026	-0,0029	
-0,01	0,016	-0,0026	-0,0029	
-0,01	0,014	-0,0026	-0,0029	
-0,01	0,009	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,014	-0,0026	-0,0029	
0,00	0,013	-0,0026	-0,0029	
0,00	0,014	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,018	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,026	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,022	-0,0026	-0,0029	
0,00	0,013	-0,0026	-0,0029	
0,00	0,022	-0,0026	-0,0029	
0,00	0,022	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,009	-0,0026	-0,0029	
0,00	0,013	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,018	-0,0026	-0,0029	
0,00	0,013	-0,0026	-0,0029	
0,01	0,026	-0,0026	-0,0029	
0,01	0,022	-0,0026	-0,0029	
0,01	0,018	-0,0026	-0,0029	
