"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"SSM3K345R,LF","Toshiba Semiconductor and Storage","SSM3K345RLFCT-ND","","sol","Cut Tape (CT)","Active","1","0.42000","$0.42","1478","12 Weeks","MOSFET N-CHANNEL 20V 4A SOT23F","RoHS Compliant","Lead free","Not Available"
"CL10A105MP8NNNC","Samsung Electro-Mechanics","1276-1866-1-ND","","regs","Cut Tape (CT)","Active","2","0.10000","$0.20","570196","Not Available","CAP CER 1UF 10V X5R 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"SCMR18H105PRBB0","AVX Corporation","478-11307-ND","","","Bulk","Active","2","4.34000","$8.68","71","16 Weeks","CAP 1F 0% +100% 6V T/H","ROHS3 Compliant","Lead free","REACH Unaffected"
"55PC0221-16-2/6CS2502","TE Connectivity Raychem Cable Protection","55PC0221-16-2/6CS2502-05-ND","","","Bulk","Active","0","0.00000","$0.00","0","Not Available","55PC CABLE 5'","RoHS Compliant","Lead free","Not Available"
"BLM15AG100SN1D","Murata Electronics","490-5176-1-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","96685","7 Weeks","FERRITE BEAD 10 OHM 0402 1LN","ROHS3 Compliant","Lead free","Not Available"
"06035A220JAT2A","AVX Corporation","478-1167-1-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","1493488","8 Weeks","CAP CER 22PF 50V C0G/NP0 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0603C104Z3VACTU","KEMET","399-1100-1-ND","","","Cut Tape (CT)","Active","10","0.03200","$0.32","1610574","54 Weeks","CAP CER 0.1UF 25V Y5V 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"CRGCQ0603F22R","TE Connectivity Passive Product","A129668CT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","67890","28 Weeks","CRGCQ 0603 22R 1%","RoHS Compliant","Lead free","Not Available"
"SML-D12U1WT86","Rohm Semiconductor","SML-D12U1WT86CT-ND","","","Cut Tape (CT)","Active","2","0.21000","$0.42","0","Not Available","LED RED DIFFUSED 1608 SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"10033526-N3212LF","Amphenol ICC (FCI)","609-4700-1-ND","","","Cut Tape (CT)","Active","1","0.75000","$0.75","13069","12 Weeks","CONN RCPT MINI USB B 5POS SMD RA","RoHS Compliant","Lead free","Not Available"
"CL10A106MQ8NNNC","Samsung Electro-Mechanics","1276-1119-1-ND","","","Cut Tape (CT)","Active","1","0.15000","$0.15","3154432","Not Available","CAP CER 10UF 6.3V X5R 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"1935161","Phoenix Contact","277-1667-ND","","","Bulk","Active","1","0.43000","$0.43","94246","4 Weeks","TERM BLK 2POS SIDE ENTRY 5MM PCB","RoHS Compliant","Lead free","Not Available"
"S2751-46R","Harwin Inc.","952-2664-1-ND","","","Cut Tape (CT)","Active","10","0.24600","$2.46","62974","10 Weeks","PC TEST POINT NATURAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"TSX-3225 16.0000MF09Z-AC0","EPSON","SER4069CT-ND","","","Cut Tape (CT)","Active","1","0.36000","$0.36","34956","11 Weeks","CRYSTAL 16.00 MHZ 9PF SMD","ROHS3 Compliant","Lead free","Not Available"
"RT9261A-50GB","Richtek USA Inc.","1028-1077-1-ND","","","Cut Tape (CT)","Active","1","0.85000","$0.85","2541","16 Weeks","IC REG BOOST 5V 80MA SOT23-5","ROHS3 Compliant","Lead free","REACH Unaffected"
"ZTX690B","Diodes Incorporated","ZTX690B-ND","","","Bulk","Active","1","0.94000","$0.94","4671","15 Weeks","TRANS NPN 45V 2A E-LINE","ROHS3 Compliant","Lead free","REACH Unaffected"
